id,url,subconcept,concept
1,https://apc2020.sched.com/event/eq1R/duty-of-care-and-localization-from-standards-to-implementation,Unclassified,Unclassified
2,https://apo.org.au/node/318449,Unclassified,Unclassified
3,https://bit.ly/FON22Programme,Unclassified,Unclassified
4,https://casaclimate.org/news/what-is-a-multidimensional-vulnerability-index-mvi-and-how-could-it-help-sids/,Unclassified,Unclassified
5,https://centre.humdata.org/hdx-year-in-review-2021/,Unclassified,Unclassified
6,https://data.humdata.org/visualization/horn-of-africa-humanitarian-operations/,Unclassified,Unclassified
7,https://dergipark.org.tr/en/pub/karadearas/issue/73451/1220621,Unclassified,Unclassified
8,https://devinit.org/blog/building-greater-coherence-across-development-crisis-and-peace-sectors/,Unclassified,Wider crisis finance
9,https://devinit.org/blog/climate-finance-most-vulnerable-people/,Climate finance to crises,Wider crisis finance
10,https://devinit.org/blog/climate-finance-to-africa-what-we-know-about-oda/,Climate finance to crises,Wider crisis finance
11,https://devinit.org/blog/connecting-iati-fts-streamlined-humanitarian-reporting/,Unclassified,Unclassified
12,https://devinit.org/blog/cost-leaving-afghans-behind/,International humanitarian assistance,Humanitarian finance
13,https://devinit.org/blog/countering-isolationism-collaboration-decade-of-delivery/,Unclassified,Unclassified
14,https://devinit.org/blog/development-actors-shift-approach-sustain-engagement-financing-scale-crisis/,Development finance to crises,Wider crisis finance
15,https://devinit.org/blog/development-practitioners-we-need-improve-vital-coherence-humanitarian-and-peace-actors/,Development finance to crises,Wider crisis finance
16,https://devinit.org/blog/driving-change-quality-funding-improved-transparency/,Unclassified,Unclassified
17,https://devinit.org/blog/funding-address-gender-based-violence-in-humanitarian-emergencies/,Gender,"Crisis drivers, risk and needs"
18,https://devinit.org/blog/future-humanitarian-transparency-assembling-big-picture/,Unclassified,Unclassified
19,https://devinit.org/blog/including-local-national-actors-humanitarian-open-data/,Tracking funding flows,Transparency
20,https://devinit.org/blog/indirect-cost-recovery-local-ngos-humanitarian-reform/,Localisation / locally-led action,Humanitarian reform
21,https://devinit.org/blog/leave-no-one-behind-data-climate-inequalities/,Hazards,"Crisis drivers, risk and needs"
22,https://devinit.org/blog/localisation-lessons-kenya/,Localisation / locally-led action,Humanitarian reform
23,https://devinit.org/blog/looking-at-the-coronavirus-crisis-through-the-nexus-lens-what-needs-to-be-done/,Unclassified,Wider crisis finance
24,https://devinit.org/blog/loss-damage-building-resilience-crisis/,Loss and damage,Wider crisis finance
25,https://devinit.org/blog/next-step-grand-bargain-transparency-data-publication-data-use/,Unclassified,Unclassified
26,https://devinit.org/blog/peace-triple-nexus-what-challenges-do-donors-face/,Unclassified,Wider crisis finance
27,https://devinit.org/blog/people-want-building-resilience-stability-conflict-crises/,Unclassified,Unclassified
28,https://devinit.org/blog/placing-affected-people-heart-grand-bargain-transparency-commitments/,Unclassified,Unclassified
29,https://devinit.org/blog/power-transparency-data-key-effective-crisis-response/,Unclassified,Unclassified
30,https://devinit.org/blog/resilience-somalia-crisis/,Unclassified,Unclassified
31,https://devinit.org/blog/resource-allocation-climate-change-drr-county-governments-kenya-potential-support-progress-people-poverty/,Climate finance to crises,Wider crisis finance
32,https://devinit.org/blog/strengthening-data-driven-transparency-response-covid-19/,Response monitoring,Transparency
33,https://devinit.org/blog/tracking-humanitarian-funding-local-actors/,Tracking funding flows,Transparency
34,https://devinit.org/blog/un-appeals-underfunding-really-mean/,Unclassified,Humanitarian reform
35,https://devinit.org/blog/wealthy-countries-contributing-less-global-climate-finance/,Climate finance to crises,Wider crisis finance
36,https://devinit.org/blog/what-actions-are-required-mitigate-impacts-coronavirus-poorest-and-most-vulnerable-people/ ,Unclassified,Unclassified
37,https://devinit.org/resources/briefing-key-trends-global-humanitarian-assistance-2019/,International humanitarian assistance,Humanitarian finance
38,https://devinit.org/resources/catalogue-quality-funding-practices-humanitarian-response/,Unclassified,Unclassified
39,https://devinit.org/resources/climate-adaptation-finance-africa-key-facts/,Climate finance to crises,Wider crisis finance
40,https://devinit.org/resources/climate-finance-accounting-and-accountability/,Climate finance to crises,Wider crisis finance
