id,iati_identifier,climate_label
5189,GB-GOV-3-PPY-APDEV-000004,No adaptation or mitigation as a principle or significant objective
4401,GB-1-108195-101,No adaptation or mitigation as a principle or significant objective
5032,GB-1-108600-103,No adaptation or mitigation as a principle or significant objective
22459,GB-GOV-3-IWT-TH,No adaptation or mitigation as a principle or significant objective
19071,GB-GOV-3-FDEA-MX-FY19/20,No adaptation or mitigation as a principle or significant objective
16642,"GB-GOV-3-Governance, Education and Culture-ID",No adaptation or mitigation as a principle or significant objective
9900,GB-1-201724-151,No adaptation or mitigation as a principle or significant objective
22194,GB-1-204584-163,No adaptation or mitigation as a principle or significant objective
13148,GB-GOV-1-300368-104,No adaptation or mitigation as a principle or significant objective
1726,GB-1-205161-105,No adaptation or mitigation as a principle or significant objective
22992,GB-1-202593-101,No adaptation or mitigation as a principle or significant objective
16724,GB-GOV-1-301203-404,No adaptation or mitigation as a principle or significant objective
23669,GB-1-200781-101,No adaptation or mitigation as a principle or significant objective
15189,GB-1-109290,No adaptation or mitigation as a principle or significant objective
3173,GB-GOV-1-300559-116,No adaptation or mitigation as a principle or significant objective
10415,GB-1-202597-112,No adaptation or mitigation as a principle or significant objective
4255,GB-GOV-1-300921-109,No adaptation or mitigation as a principle or significant objective
6899,GB-1-203147,No adaptation or mitigation as a principle or significant objective
16239,GB-1-203977,No adaptation or mitigation as a principle or significant objective
15536,GB-1-200433-101,No adaptation or mitigation as a principle or significant objective
19559,GB-1-103511,No adaptation or mitigation as a principle or significant objective
9612,GB-1-204304-101,No adaptation or mitigation as a principle or significant objective
16706,GB-1-204322-104,No adaptation or mitigation as a principle or significant objective
19860,GB-1-203308-101,No adaptation or mitigation as a principle or significant objective
14586,GB-1-112060-101,No adaptation or mitigation as a principle or significant objective
15744,GB-GOV-1-300808-111,No adaptation or mitigation as a principle or significant objective
22420,GB-GOV-3-PF-INJ-912001,No adaptation or mitigation as a principle or significant objective
3320,GB-1-203157-102,No adaptation or mitigation as a principle or significant objective
10761,GB-1-204890-112,No adaptation or mitigation as a principle or significant objective
14545,GB-1-201660-102,No adaptation or mitigation as a principle or significant objective
6232,GB-1-114316,No adaptation or mitigation as a principle or significant objective
20929,GB-1-204420,No adaptation or mitigation as a principle or significant objective
3474,GB-GOV-1-301000-999,No adaptation or mitigation as a principle or significant objective
14344,GB-1-202541-102,No adaptation or mitigation as a principle or significant objective
7975,GB-1-201289-101,No adaptation or mitigation as a principle or significant objective
18604,GB-GOV-3-FDEA-GH-FY19/20,No adaptation or mitigation as a principle or significant objective
19006,GB-1-202964-101,No adaptation or mitigation as a principle or significant objective
9580,GB-1-200827-101,No adaptation or mitigation as a principle or significant objective
6039,GB-1-114513-101,No adaptation or mitigation as a principle or significant objective
1753,GB-GOV-1-300680-104,No adaptation or mitigation as a principle or significant objective
11175,GB-1-203861,No adaptation or mitigation as a principle or significant objective
17231,GB-1-202660-106,No adaptation or mitigation as a principle or significant objective
8858,GB-1-205286-104,No adaptation or mitigation as a principle or significant objective
8919,GB-1-111641-101,No adaptation or mitigation as a principle or significant objective
1871,GB-GOV-3-PSA-NPK-200033,No adaptation or mitigation as a principle or significant objective
15997,GB-GOV-1-300531-117,No adaptation or mitigation as a principle or significant objective
3448,GB-1-201852-101,No adaptation or mitigation as a principle or significant objective
20175,GB-GOV-1-300420-102,No adaptation or mitigation as a principle or significant objective
20223,GB-GOV-1-300055-105,No adaptation or mitigation as a principle or significant objective
4369,GB-1-203809-401,No adaptation or mitigation as a principle or significant objective
13551,GB-GOV-1-301247-105,No adaptation or mitigation as a principle or significant objective
9505,GB-1-107370-105,No adaptation or mitigation as a principle or significant objective
17193,GB-1-200135-104,No adaptation or mitigation as a principle or significant objective
6601,GB-GOV-1-300612-108,No adaptation or mitigation as a principle or significant objective
18346,GB-1-202657-103,No adaptation or mitigation as a principle or significant objective
2590,GB-GOV-3-PAP-CNF-002338,No adaptation or mitigation as a principle or significant objective
12533,GB-1-201484-101,No adaptation or mitigation as a principle or significant objective
1773,GB-GOV-1-300511-110,No adaptation or mitigation as a principle or significant objective
16530,GB-1-107712,No adaptation or mitigation as a principle or significant objective
