id,iati_identifier,climate_label
1284,44000-P166752,No adaptation or mitigation as a principle or significant objective
211,44000-P090592,No adaptation or mitigation as a principle or significant objective
1080,44000-P124615,No adaptation or mitigation as a principle or significant objective
1526,44000-P078971,No adaptation or mitigation as a principle or significant objective
1751,44000-P064836,No adaptation or mitigation as a principle or significant objective
947,44000-P129326,No adaptation or mitigation as a principle or significant objective
2849,44000-P173776,No adaptation or mitigation as a principle or significant objective
1948,44000-P176383,No adaptation or mitigation as a principle or significant objective
3843,44000-P144103,No adaptation or mitigation as a principle or significant objective
1389,44000-P087734,No adaptation or mitigation as a principle or significant objective
612,44000-P131765,No adaptation or mitigation as a principle or significant objective
4011,44000-P096823,No adaptation or mitigation as a principle or significant objective
2314,44000-P148861,No adaptation or mitigation as a principle or significant objective
3191,44000-P151442,No adaptation or mitigation as a principle or significant objective
2428,44000-P159428,No adaptation or mitigation as a principle or significant objective
3363,44000-P101218,No adaptation or mitigation as a principle or significant objective
3354,44000-P143843,No adaptation or mitigation as a principle or significant objective
2616,44000-P155363,No adaptation or mitigation as a principle or significant objective
10,44000-P127867,No adaptation or mitigation as a principle or significant objective
4017,44000-P095203,No adaptation or mitigation as a principle or significant objective
2175,44000-P150402,No adaptation or mitigation as a principle or significant objective
2961,44000-P121755,No adaptation or mitigation as a principle or significant objective
2138,44000-P126516,No adaptation or mitigation as a principle or significant objective
3586,44000-P174066,No adaptation or mitigation as a principle or significant objective
3816,44000-P144952,No adaptation or mitigation as a principle or significant objective
3518,44000-P081776,No adaptation or mitigation as a principle or significant objective
1562,44000-P166239,No adaptation or mitigation as a principle or significant objective
2860,44000-P152903,No adaptation or mitigation as a principle or significant objective
3913,44000-P080228,No adaptation or mitigation as a principle or significant objective
2507,44000-P101653,No adaptation or mitigation as a principle or significant objective
4082,44000-P097201,No adaptation or mitigation as a principle or significant objective
1697,44000-P130544,No adaptation or mitigation as a principle or significant objective
3086,44000-P103037,No adaptation or mitigation as a principle or significant objective
2456,44000-P178043,No adaptation or mitigation as a principle or significant objective
2678,44000-P158505,No adaptation or mitigation as a principle or significant objective
2323,44000-P090615,No adaptation or mitigation as a principle or significant objective
2201,44000-P163559,No adaptation or mitigation as a principle or significant objective
2855,44000-P157571,No adaptation or mitigation as a principle or significant objective
2215,44000-P035655,No adaptation or mitigation as a principle or significant objective
2755,44000-P155876,No adaptation or mitigation as a principle or significant objective
1519,44000-P105269,No adaptation or mitigation as a principle or significant objective
2408,44000-P102573,No adaptation or mitigation as a principle or significant objective
2344,44000-P090075,No adaptation or mitigation as a principle or significant objective
3654,44000-P177005,No adaptation or mitigation as a principle or significant objective
1998,44000-P127306,No adaptation or mitigation as a principle or significant objective
365,44000-P122770,No adaptation or mitigation as a principle or significant objective
533,44000-P152851,No adaptation or mitigation as a principle or significant objective
618,44000-P121673,No adaptation or mitigation as a principle or significant objective
2486,44000-P160331,No adaptation or mitigation as a principle or significant objective
169,44000-P152104,No adaptation or mitigation as a principle or significant objective
1159,44000-P096323,No adaptation or mitigation as a principle or significant objective
1414,44000-P121809,No adaptation or mitigation as a principle or significant objective
317,44000-P166420,No adaptation or mitigation as a principle or significant objective
3714,44000-P087860,No adaptation or mitigation as a principle or significant objective
3179,44000-P108078,No adaptation or mitigation as a principle or significant objective
1883,44000-P125288,No adaptation or mitigation as a principle or significant objective
3485,44000-P126722,No adaptation or mitigation as a principle or significant objective
2371,44000-P126324,No adaptation or mitigation as a principle or significant objective
2034,44000-P156655,No adaptation or mitigation as a principle or significant objective
2831,44000-P170669,No adaptation or mitigation as a principle or significant objective
822,44000-P111548,No adaptation or mitigation as a principle or significant objective
3093,44000-P173073,No adaptation or mitigation as a principle or significant objective
1291,44000-P126583,No adaptation or mitigation as a principle or significant objective
843,44000-P107722,No adaptation or mitigation as a principle or significant objective
3069,44000-P160829,No adaptation or mitigation as a principle or significant objective
1892,44000-P172774,No adaptation or mitigation as a principle or significant objective
655,44000-P084787,No adaptation or mitigation as a principle or significant objective
521,44000-P130972,No adaptation or mitigation as a principle or significant objective
1850,44000-P074020,No adaptation or mitigation as a principle or significant objective
2916,44000-P125359,No adaptation or mitigation as a principle or significant objective
2556,44000-P122478,No adaptation or mitigation as a principle or significant objective
894,44000-P077826,No adaptation or mitigation as a principle or significant objective
3201,44000-P133592,No adaptation or mitigation as a principle or significant objective
2443,44000-P126210,No adaptation or mitigation as a principle or significant objective
21,44000-P112956,No adaptation or mitigation as a principle or significant objective
3463,44000-P115067,No adaptation or mitigation as a principle or significant objective
803,44000-P106369,No adaptation or mitigation as a principle or significant objective
3480,44000-P112901,No adaptation or mitigation as a principle or significant objective
2001,44000-P170941,No adaptation or mitigation as a principle or significant objective
1017,44000-P152936,No adaptation or mitigation as a principle or significant objective
3691,44000-P171607,No adaptation or mitigation as a principle or significant objective
4095,44000-P149886,No adaptation or mitigation as a principle or significant objective
94,44000-P107782,No adaptation or mitigation as a principle or significant objective
3376,44000-P173399,No adaptation or mitigation as a principle or significant objective
404,44000-P126440,No adaptation or mitigation as a principle or significant objective
3922,44000-P105164,No adaptation or mitigation as a principle or significant objective
3588,44000-P145196,No adaptation or mitigation as a principle or significant objective
732,44000-P159519,No adaptation or mitigation as a principle or significant objective
2760,44000-P128012,No adaptation or mitigation as a principle or significant objective
2182,44000-P096572,No adaptation or mitigation as a principle or significant objective
3429,44000-P177070,No adaptation or mitigation as a principle or significant objective
3934,44000-P175801,No adaptation or mitigation as a principle or significant objective
274,44000-P151777,No adaptation or mitigation as a principle or significant objective
1110,44000-P143608,No adaptation or mitigation as a principle or significant objective
459,44000-P162042,No adaptation or mitigation as a principle or significant objective
189,44000-P150496,No adaptation or mitigation as a principle or significant objective
4068,44000-P161392,No adaptation or mitigation as a principle or significant objective
99,44000-P167260,No adaptation or mitigation as a principle or significant objective
3483,44000-P126579,No adaptation or mitigation as a principle or significant objective
1597,44000-P169698,No adaptation or mitigation as a principle or significant objective
1421,44000-P165631,No adaptation or mitigation as a principle or significant objective
539,44000-P110752,No adaptation or mitigation as a principle or significant objective
4071,44000-P155480,No adaptation or mitigation as a principle or significant objective
155,44000-P147984,No adaptation or mitigation as a principle or significant objective
370,44000-P153541,No adaptation or mitigation as a principle or significant objective
174,44000-P173855,No adaptation or mitigation as a principle or significant objective
4114,44000-P120589,No adaptation or mitigation as a principle or significant objective
3690,44000-P107456,No adaptation or mitigation as a principle or significant objective
2881,44000-P110959,No adaptation or mitigation as a principle or significant objective
3415,44000-P155658,No adaptation or mitigation as a principle or significant objective
690,44000-P143302,No adaptation or mitigation as a principle or significant objective
2470,44000-P113099,No adaptation or mitigation as a principle or significant objective
2412,44000-P096707,No adaptation or mitigation as a principle or significant objective
2196,44000-P117107,No adaptation or mitigation as a principle or significant objective
830,44000-P174155,No adaptation or mitigation as a principle or significant objective
423,44000-P095314,No adaptation or mitigation as a principle or significant objective
1501,44000-P088964,No adaptation or mitigation as a principle or significant objective
